松山區,臺北市松山區民族東路601~650號,27.25,10107,88.57,10300000,116292,0,0,304963,2773193,25.06595,121.544797
松山區,臺北市松山區寶清街1~50號,3.37,10108,33.12,4700000,141890,0,0,307418,2771463,25.05024,121.569059
文山區,臺北市文山區文山區景華街22巷1~50號,29.62,10106,135.28,18500000,136755,0,0,304728,2765205,24.993843,121.542151
文山區,臺北市文山區木柵路二段109巷26弄1~50號,40.62,10107,111.27,8800000,79087,0,0,306943,2764881,24.990836,121.564079
松山區,臺北市松山區三民路101巷1~50號,30,10107,77.46,13550000,174929,0,0,306748,2772233,25.057217,121.56245
松山區,臺北市松山區民權東路三段151~200號,6.96,10107,44.95,8100000,180191,0,0,305336,2772799,25.062379,121.548479
文山區,老泉段四小段301~350地號,5615.5,10107,0,17000000,3027,0,0,306574,2762980,24.973688,121.560347
文山區,臺北市文山區興隆路三段304巷1~50號,15.64,10104,129.37,11500000,88894,0,0,305907,2765310,24.994748,121.553835
文山區,臺北市文山區萬安街51~100號,41,10107,94.56,12580000,133041,0,0,307624,2766128,25.002068,121.570877
松山區,臺北市松山區八德路二段301~350號,6.97,10108,96.5,18000000,186528,0,0,305046,2771142,25.04743,121.545538
松山區,臺北市松山區撫遠街380巷1~50號,25.88,10107,83.5,12300000,147305,0,0,307038,2773002,25.064148,121.565356
文山區,臺北市文山區萬盛街156巷2弄1~50號,29.94,10107,86.46,11000000,127226,0,0,304742,2766431,25.004911,121.542339
文山區,臺北市文山區福興路106巷1~50號,21.03,10107,122.74,11150000,90836,0,0,305473,2766631,25.00669,121.549588
文山區,臺北市文山區政大一街320巷101~150號,43.69,10108,320.1,40000000,124960,0,0,309221,2764280,24.985323,121.586619
文山區,臺北市文山區景興路151~200號,5.84,10107,66.29,7500000,113134,0,0,304947,2765032,24.992273,121.544314
文山區,臺北市文山區樟新街32巷1~50號,25.5,10107,146.33,15000000,102509,0,0,306044,2763489,24.978303,121.555118
松山區,臺北市松山區民生東路五段201~250號,1.9,10108,29.5,5520000,187087,0,0,306972,2772367,25.058418,121.564676
松山區,延吉段一小段201~250地號,0.11,10107,0,120000,1088435,0,0,306123,2771171,25.047653,121.556213
文山區,臺北市文山區辛亥路六段1~50號,41.84,10108,262.08,31400000,119814,0,0,305862,2764690,24.989152,121.553364
文山區,臺北市文山區福興路95巷51~100號,16.55,10108,61.37,6700000,109168,0,0,305229,2766473,25.005272,121.547165
文山區,臺北市文山區景興路177巷1~50號,16.5,10103,85.71,12760000,152906,8.8,1000000,305060,2765086,24.992757,121.545435
松山區,臺北市松山區八德路四段204巷7弄1~50號,17.5,10107,66.77,12620000,189007,0,0,306967,2771249,25.048325,121.56458
松山區,延吉段三小段651~700地號,28.2,10108,0,1477966,52410,0,0,305454,2771101,25.047045,121.54958
